frequency[Hz],flange_omega_z[rad/s],flange_alpha_z[rad/s2],cycloid_acc_xy[m/s2]
2.470535741123583762e+01,2.229884721114958122e-04,4.866313619278667124e-02,1.385703808201502315e-03
2.588180300224706798e+01,2.116007739647674587e-04,4.657326878803510345e-02,3.025698625231065114e-03
2.705824859325829834e+01,1.814332833051035207e-04,4.090043833014874591e-02,4.021919878755364150e-03
2.823469418426952871e+01,1.484405940453024594e-04,3.421071536751469494e-02,7.174076182485805697e-03
2.941113977528075907e+01,1.281879184446690163e-04,2.958418950919728882e-02,6.722535281560464149e-03
3.058758536629198943e+01,1.294166778172539938e-04,2.942930923220705292e-02,1.054331690202833793e-02
3.176403095730321979e+01,1.824914876994680345e-04,3.988567009326519225e-02,6.802803291898997656e-03
3.294047654831445016e+01,2.903297928737851594e-04,6.196680057638869615e-02,1.283288602420913464e-02
3.411692213932568052e+01,4.200931413095360307e-04,8.952961361370113946e-02,1.931150961786074621e-02
3.529336773033691088e+01,7.171072625786783410e-04,1.538807750062544666e-01,1.097967353015586421e-02
3.646981332134814124e+01,1.131061630727699498e-03,2.409508523003580649e-01,2.173409182984099158e-02
3.764625891235937161e+01,8.476138737333777399e-04,1.812026681552753038e-01,3.119934716974431810e-02
3.882270450337060197e+01,2.931981288758593596e-04,6.285949670942946044e-02,1.298983449341955913e-02
3.999915009438183233e+01,4.612980837052618928e-05,8.380002609414313394e-03,1.527532239441389481e-02
4.117559568539306269e+01,5.833455947894554058e-05,1.391079770001089205e-02,5.487058759824394762e-03
4.235204127640429306e+01,6.974631491523586226e-05,1.698841197459930244e-02,6.712036848769164545e-03
4.352848686741552342e+01,6.288122205418761530e-05,1.569330664804523615e-02,9.399679428076306367e-03
4.470493245842675378e+01,4.683252338790116294e-05,1.188361127292786833e-02,1.982538898653266220e-03
4.588137804943798415e+01,2.803613325751086823e-05,7.251548443171749320e-03,4.933365652521367987e-03
4.705782364044921451e+01,1.527269678901449994e-05,4.016632369602262005e-03,2.088169501137810899e-03
4.823426923146044487e+01,1.057005554887226006e-05,2.891537869787091757e-03,6.983994518760673620e-03
4.941071482247167523e+01,1.086323120739369227e-05,2.760950802066409245e-03,4.688513091661967135e-03
5.058716041348290560e+01,1.437209208310041764e-05,3.185656320849257570e-03,6.895797737091303309e-03
5.176360600449413596e+01,1.654651239659772358e-05,3.256992073648380150e-03,8.475177463348792031e-03
5.294005159550536632e+01,1.647452702457366256e-05,2.916430050855429047e-03,1.458049195488016897e-02
5.411649718651659668e+01,1.317270691228695251e-05,1.826650930264069094e-03,3.164553943961691956e-02
5.529294277752782705e+01,9.387816007972655846e-06,1.166822544961455821e-03,2.142633964158643673e-03
5.646938836853905741e+01,7.308342844166702822e-06,1.527220786753578441e-03,1.131165508298555798e-02
5.764583395955028777e+01,7.362757238314962572e-06,2.088251081286875404e-03,8.234167330385924050e-03
5.882227955056151814e+01,8.986733479022978175e-06,2.527891685954541858e-03,2.116600741750091202e-03
5.999872514157274850e+01,5.010082262926345652e-06,1.460876902228851800e-03,7.636812025780628267e-03
6.117517073258397886e+01,2.234398107880268150e-06,7.083628278830217178e-04,1.056480527978025281e-02
6.235161632359520922e+01,1.672346354091094448e-06,4.252714680705467465e-04,8.188128100106793761e-03
6.352806191460643959e+01,2.034101974155922140e-06,5.923562208784373308e-04,5.030171107096906812e-03
6.470450750561766995e+01,4.909857631419979618e-06,1.502855184141824391e-03,1.248404231099444449e-02
6.588095309662890031e+01,7.675095214843429041e-06,2.018396044416398936e-03,3.399214250971001154e-03
6.705739868764013067e+01,1.053082914224335773e-05,2.373013242696441708e-03,1.161807594359911579e-02
6.823384427865136104e+01,1.157852521352985983e-05,2.353427541531223893e-03,1.353959377058093320e-02
6.941028986966259140e+01,1.079249924925575285e-05,2.490718505286331711e-03,6.744858819972341171e-03
7.058673546067382176e+01,1.130860101056060843e-05,3.581425491105277598e-03,2.102202921507816732e-03
7.176318105168505213e+01,1.171308854945651560e-05,4.373957362815445588e-03,1.721708513755966161e-02
7.293962664269628249e+01,1.241239696679368952e-05,4.041233739992934962e-03,2.262697594380023644e-02
7.411607223370751285e+01,1.751259698808812227e-05,6.197395318587018385e-03,2.412993955693562217e-02
7.529251782471874321e+01,1.388217428101429117e-05,5.607399014322429417e-03,2.799541562535976663e-02
7.646896341572997358e+01,7.644627409472582811e-06,3.230271208608284129e-03,1.449983398466412644e-02
7.764540900674120394e+01,3.727692349754706774e-06,1.545202618190103351e-03,1.416958760110674162e-02
7.882185459775243430e+01,3.654478763811467361e-06,6.473959877430272803e-04,2.743006897884138658e-03
7.999830018876366466e+01,5.137241865946407969e-06,7.332682223228598022e-04,1.791992687999283910e-03
8.117474577977489503e+01,5.693734879486301316e-06,8.415587821876462050e-04,7.098838400713079581e-03
8.235119137078612539e+01,4.786680819719708898e-06,7.207012581731753534e-04,5.904730806624424767e-03
8.352763696179735575e+01,3.608099958439121655e-06,5.980930797926790367e-04,4.489445668888416771e-03
8.470408255280858612e+01,1.889874120326089723e-06,2.230021915791778999e-04,1.049619440421583998e-02
8.588052814381981648e+01,1.597978005342579864e-06,4.116134099236050067e-04,1.293563955345144838e-02
8.705697373483104684e+01,3.051649538021916188e-06,5.103209360886652203e-04,1.408002313267373365e-02
8.823341932584227720e+01,5.191356627721858703e-06,2.639444403342653669e-04,1.016413418055668767e-02
8.940986491685350757e+01,6.421066398921674021e-06,5.094871406542195906e-04,1.348438235019160970e-02
9.058631050786473793e+01,6.126423639280996617e-06,1.039522705009652843e-03,4.214805083247443081e-03
9.176275609887596829e+01,5.283389696058200474e-06,1.291147002475241017e-03,1.141767984832851857e-02
9.293920168988719865e+01,4.542663703194674304e-06,1.356968906123913162e-03,2.384610386553285763e-02
9.411564728089842902e+01,4.300472381577802071e-06,1.123183306006745154e-03,1.355048943256662031e-02
9.529209287190965938e+01,3.698492108981698901e-06,6.909681787879064924e-04,4.831183236377900939e-03
9.646853846292088974e+01,2.748166574746447663e-06,4.748722911522671071e-04,5.372755758587501734e-03
9.764498405393212010e+01,1.876348576823142343e-06,9.706574646889846525e-04,6.752634305027191419e-03
9.882142964494335047e+01,1.501191856193754572e-06,1.318299775961930768e-03,4.942185631470212039e-03
9.999787523595458083e+01,2.066554482020705818e-06,1.169038496721613776e-03,5.893174817761786394e-03
1.011743208269658112e+02,3.589034691102884030e-06,7.198973225141436965e-04,7.811225227223553974e-03
1.023507664179770416e+02,5.295964007959779147e-06,1.019926316652400880e-04,7.037321233437224439e-03
1.035272120089882719e+02,6.213472665156331091e-06,2.707347997195855434e-04,3.259441459367861532e-03
1.047036575999995023e+02,7.079058778813020216e-06,1.077489260519366547e-03,6.043715001953945537e-03
1.058801031910107326e+02,6.194432927029528466e-06,2.097911255125924340e-03,1.088013024813807607e-02
1.070565487820219630e+02,3.811355166227416744e-06,2.679809062531316941e-03,1.259968217868178732e-02
1.082329943730331934e+02,2.132005750980822204e-06,3.118885220431658663e-03,1.035740840502337445e-02
1.094094399640444237e+02,3.839426037306020656e-06,2.947031164305513769e-03,2.441957013606623015e-03
1.105858855550556541e+02,4.639130195772102431e-06,2.206663756079952320e-03,1.761760972919169596e-02
1.117623311460668845e+02,5.040269601910131816e-06,2.234202332029733371e-03,3.856095095071211676e-02
1.129387767370781148e+02,3.685427857947542349e-06,2.290187679920852211e-03,2.977533846853490374e-02
1.141152223280893452e+02,1.193244760251926675e-06,1.660070340459276475e-03,2.192132916009184931e-02
1.152916679191005755e+02,1.385954186492631593e-06,8.151030756269174535e-04,7.844416841178673480e-03
1.164681135101118059e+02,2.120958136047208822e-06,4.238736509100451684e-04,8.355016205377775382e-03
1.176445591011230363e+02,2.000669514139126344e-06,1.015841895327918975e-03,8.422868906158519769e-03
1.188210046921342666e+02,2.379674499998178553e-06,8.123199120767664750e-04,1.133540626261904209e-02
1.199974502831454970e+02,2.125642062700980681e-06,7.943945804879028877e-04,1.083542326431635207e-02
1.211738958741567274e+02,1.659862434691435619e-06,6.942889785692857611e-04,9.290367907423529442e-03
1.223503414651679577e+02,8.044700347242731181e-07,7.181885399739490472e-04,1.096479906011678385e-02
1.235267870561791881e+02,2.705728731781630700e-07,6.665700247106056417e-04,1.545460571063664822e-02
1.247032326471904184e+02,7.566727345833238273e-07,8.557177149344381275e-04,1.391805512371933895e-02
1.258796782382016488e+02,3.541454919491777424e-07,8.959491876099806617e-04,9.365896014536391478e-03
1.270561238292128792e+02,8.499227919800052511e-07,6.653070065794801976e-04,1.474608207701558205e-02
1.282325694202241095e+02,1.860734519512513373e-06,4.066215741395148701e-04,2.007794974757630326e-03
1.294090150112353399e+02,2.457106215891380143e-06,4.310557335344767705e-04,1.189033747774865743e-02
1.305854606022465703e+02,2.836970878075216665e-06,4.809548413314687566e-04,7.342661472721649478e-03
1.317619061932578006e+02,2.781067061468548756e-06,2.772661472382543287e-04,8.357400616536119972e-03
1.329383517842690310e+02,2.521157310325369960e-06,1.479089468753678885e-04,1.122707240726747435e-02
1.341147973752802613e+02,2.302178617577871286e-06,6.597983103403086413e-04,1.213584232217971952e-02
1.352912429662914917e+02,2.580534383870256477e-06,1.174299976669552483e-03,6.901163216648861266e-03
1.364676885573027221e+02,3.071254275389305209e-06,1.354236797136342159e-03,3.370064174848632840e-03
1.376441341483139524e+02,3.291528722994134999e-06,1.368105664395937457e-03,1.052707805676130967e-02
1.388205797393251828e+02,2.739643413660616910e-06,9.073799883776536342e-04,5.226652397925999477e-03
1.399970253303364132e+02,1.671997384289337432e-06,7.630005592186236713e-04,6.672825210931878151e-03
1.411734709213476435e+02,2.505850158841939579e-06,1.274359548730679683e-03,1.142491533886560648e-02
1.423499165123588739e+02,2.912585107044474890e-06,1.536980909631963359e-03,1.949755794647990356e-02
1.435263621033701043e+02,2.789292267443520986e-06,2.025170904802086735e-03,1.736741002321510671e-02
1.447028076943813346e+02,2.851358136878648133e-06,2.157341347524687532e-03,2.485009911752103853e-02
1.458792532853925650e+02,4.617294438213279693e-06,2.269310283623194886e-03,2.758660250987544221e-02
1.470556988764037953e+02,6.582876019950180854e-06,2.284447395156599062e-03,1.406207775326731059e-02
1.482321444674150257e+02,6.947158063180377546e-06,1.635421163750260280e-03,2.378636041465133702e-02
1.494085900584262561e+02,5.711186818708455698e-06,7.757724634169336098e-04,1.546464423146410271e-02
1.505850356494374864e+02,3.674364192519794944e-06,6.354081359847634468e-04,5.246249139174158013e-03
1.517614812404487168e+02,2.383412968281833218e-06,9.483039306830494571e-04,1.009246055365200026e-02
1.529379268314599472e+02,1.658367743334071765e-06,1.051942036762041699e-03,1.475923820972465869e-02
1.541143724224711775e+02,1.757582346100477198e-06,7.186211787261089076e-04,1.281804622685848646e-02
1.552908180134824079e+02,2.083809822159255865e-06,3.948095326642504701e-04,6.803896939855387342e-03
1.564672636044936382e+02,2.509507377041843683e-06,4.766568632228521379e-04,5.043312879273638590e-03
1.576437091955048686e+02,2.691991237316252556e-06,5.355339372957534190e-04,7.030092328257365672e-03
1.588201547865160990e+02,3.017944225586587426e-06,6.797110280214366772e-04,8.210641688722118692e-03
1.599966003775273293e+02,3.404233763280054638e-06,8.648407364014942204e-04,6.697020774082730783e-03
1.611730459685385597e+02,3.630630808094534349e-06,9.758970464936542882e-04,1.391552995227026031e-02
1.623494915595497901e+02,3.498680760750563243e-06,6.203402485145738691e-04,1.083651305058878911e-02
1.635259371505610204e+02,3.385172543975221468e-06,4.840215070856174803e-04,1.313156366115536371e-02
1.647023827415722508e+02,2.611786320624591145e-06,2.629993088981157794e-05,1.341706929022846821e-02
1.658788283325834811e+02,1.968416003231310510e-06,4.867865748239509280e-04,6.914381351912360189e-03
1.670552739235947115e+02,1.357975451044116815e-06,6.038030037497535245e-04,9.557717662806280642e-03
1.682317195146059419e+02,8.023238906970342944e-07,5.262520100318376134e-04,1.130434881246555716e-02
1.694081651056171722e+02,8.579976417703460774e-07,6.524321406003941648e-04,1.308875175553749458e-02
1.705846106966284026e+02,1.658140087464480570e-06,1.186752167740319584e-03,1.220558821089285338e-02
1.717610562876396330e+02,2.212846340428140615e-06,1.454287030431340678e-03,3.448880475031951363e-03
1.729375018786508633e+02,2.361170641498583983e-06,1.231921355269611660e-03,1.208011983774185012e-02
1.741139474696620937e+02,2.430505919994950142e-06,6.206183826231597995e-04,8.943465425943290456e-03
1.752903930606733240e+02,2.647465428877967028e-06,4.269378437501322168e-04,1.854785629833477978e-03
1.764668386516845544e+02,2.571505909904743855e-06,6.557985598264656464e-04,7.159260260327896148e-03
1.776432842426957848e+02,2.184783538690516111e-06,5.795076184841387338e-04,7.727204842481096708e-03
1.788197298337070151e+02,2.132265805072233961e-06,4.171358715333149821e-04,3.537530897252305975e-03
1.799961754247182455e+02,3.094219526610622932e-06,1.096591860623527146e-03,3.334065395930889408e-03
1.811726210157294759e+02,4.091014941643822305e-06,1.724774422896628405e-03,4.256132852719161051e-03
1.823490666067407062e+02,4.035438853322535486e-06,1.817836319092843485e-03,5.811743528866005967e-03
1.835255121977519366e+02,3.045045027420806424e-06,1.280954059248307596e-03,1.218658998319056136e-02
1.847019577887631669e+02,2.215404205439223329e-06,5.220626128901142060e-04,1.599622973741349208e-02
1.858784033797743973e+02,1.539958121310170224e-06,3.662787036724102089e-04,1.968181448140106718e-02
1.870548489707856277e+02,9.658531406197138596e-07,6.893663443087546432e-04,9.797786308577992320e-03
1.882312945617968580e+02,1.266651968357607697e-06,8.681348975324291355e-04,2.208986128396416351e-03
1.894077401528080884e+02,1.497970450043721145e-06,6.722368548317756700e-04,2.117611102243836807e-03
1.905841857438193188e+02,1.893708614130385988e-06,6.403850209695914489e-04,7.703898758523127811e-03
1.917606313348305491e+02,2.249013399984396692e-06,5.182003137057069383e-04,1.117460607963440510e-02
1.929370769258417795e+02,2.369142662169367063e-06,2.875602774655307671e-04,4.544802913952443804e-03
1.941135225168530098e+02,2.407096430326094312e-06,6.450748789499084453e-05,5.836869050644378186e-03
1.952899681078642402e+02,2.407613798713295667e-06,2.732519968001841321e-04,9.452640710184378320e-03
1.964664136988754706e+02,2.211614372181689593e-06,3.429155154489893238e-04,6.045897694972787381e-03
1.976428592898867009e+02,1.738695177561931556e-06,4.252801390348423896e-04,9.416337078279254924e-03
1.988193048808979313e+02,1.129567699891590044e-06,5.998785576938905038e-04,1.098716717421484648e-02
1.999957504719091617e+02,6.406697565074355685e-07,7.053888302768398372e-04,5.213007017842388562e-03
2.011721960629203920e+02,4.777764447488468985e-07,7.318887711995939686e-04,9.083934942712966823e-03
2.023486416539316224e+02,6.957937054276052128e-07,5.807824180451725453e-04,6.017372517225524561e-03
2.035250872449428527e+02,1.124399315448147490e-06,3.653253748056403032e-04,9.424379067810144742e-03
2.047015328359540831e+02,1.368213076277368226e-06,1.308340886640549405e-04,1.173887699022975635e-02
2.058779784269653135e+02,1.599200157409830235e-06,2.552356318539368801e-04,7.474550564610578721e-03
2.070544240179765438e+02,1.431444978126814455e-06,7.324945674727380545e-04,1.065502373506950658e-02
2.082308696089877742e+02,1.111300894691615867e-06,1.121371753809991987e-03,1.090779345403921144e-02
2.094073151999990046e+02,1.002781838086483050e-06,1.147970641236360561e-03,2.273946062163201449e-03
2.105837607910102349e+02,9.460226902361954159e-07,9.819877716560068085e-04,3.196598355350218149e-03
2.117602063820214653e+02,1.146094809834664190e-06,5.193239288969164454e-04,5.894544589436920105e-03
2.129366519730326957e+02,1.333042690665426590e-06,2.068541872975643346e-04,4.693865400761994093e-03
2.141130975640439260e+02,1.125723555365839753e-06,5.497938358265722601e-04,6.145910113626663722e-03
2.152895431550551564e+02,8.272796069565150597e-07,6.519699553439081132e-04,1.666268285058065610e-02
2.164659887460663867e+02,7.929625918058868429e-07,5.735190296463671573e-04,1.476657801593260835e-02
2.176424343370776171e+02,1.082740215172526111e-06,5.822708765695701512e-04,8.105237791595321789e-03
2.188188799280888475e+02,1.238567393875860309e-06,9.650083866149288198e-04,1.129540901910646052e-02
2.199953255191000778e+02,1.166534086837968374e-06,1.260919996501308656e-03,7.289524895628307979e-03
2.211717711101113082e+02,1.119174711300927802e-06,1.552444833667533707e-03,3.302599209590566069e-03
2.223482167011225386e+02,8.802916021742302214e-07,1.240031002966209255e-03,1.771325717083628570e-02
2.235246622921337689e+02,9.284433699764326481e-07,9.327281290836894482e-04,1.788015481365485063e-02
2.247011078831449993e+02,7.178016760839897491e-07,6.047261878418775608e-04,9.974091731415531473e-03
2.258775534741562296e+02,5.680451340293463416e-07,5.874168964646806477e-05,5.969309322932387328e-03
2.270539990651674600e+02,5.262228650385067264e-07,1.292416958232740721e-04,3.343516792193581937e-03
2.282304446561786904e+02,9.016794121722941737e-07,4.463964993579087014e-04,8.564690979990257150e-03
2.294068902471899207e+02,8.708650883150060322e-07,6.079807182358271936e-04,1.472634850645625215e-02
2.305833358382011511e+02,8.977448911054926576e-07,5.309308501028664517e-04,1.652088823109352372e-02
2.317597814292123815e+02,5.144576489233267999e-07,7.884772675005849354e-04,1.119165618574094120e-02
2.329362270202236118e+02,5.365523742900839088e-07,6.523759052271503600e-04,1.045845376601564104e-02
2.341126726112348422e+02,5.123324094910699843e-07,8.238978106806688377e-04,1.394291592708447403e-03
2.352891182022460725e+02,8.434203242656214609e-07,8.823720157649339287e-04,1.264603508389755028e-02
2.364655637932573029e+02,8.559619885108480138e-07,6.566704042194805189e-04,1.505262762456084993e-02
2.376420093842685333e+02,6.006442600157805995e-07,2.989619314896189311e-04,1.430493247232365005e-02
2.388184549752797636e+02,2.001764620011930859e-07,3.440044808498776783e-04,9.980706663205232698e-03
2.399949005662909940e+02,4.331755817133267610e-07,6.313116459581081434e-04,5.316495379143869153e-03
2.411713461573022244e+02,6.193571897391433722e-07,7.635197741301517384e-04,1.447381349924777884e-02
2.423477917483134547e+02,4.829722008762911885e-07,6.131714237413368610e-04,1.227441249283667268e-02
2.435242373393246851e+02,5.179426761538653981e-07,7.208195164123002222e-04,8.068687504957114051e-03
2.447006829303359154e+02,6.337549789071301722e-07,1.099395189268619847e-03,5.537883330637627041e-03
2.458771285213471458e+02,8.535965294723899329e-07,1.325246003464965270e-03,2.995338741066430176e-03
2.470535741123583762e+02,8.258362843815380587e-07,1.190083512990216044e-03,3.386892216810071052e-03
2.482300197033696065e+02,6.413839875075753354e-07,8.559767534906358166e-04,4.770628695386095776e-03
2.494064652943808369e+02,6.717018431242941189e-07,4.312127993616293969e-04,5.576004353549685044e-03
2.505829108853920673e+02,1.105952794604504277e-06,4.517973042374945022e-04,7.404645283186484309e-03
2.517593564764032976e+02,1.437138820166431993e-06,8.153489921973752861e-04,8.743536922923142093e-03
2.529358020674145280e+02,1.503901463968916568e-06,9.973195205049301560e-04,9.112482922532246649e-03
2.541122476584257583e+02,1.491432825587400817e-06,1.054484437889435496e-03,2.099016149294223588e-02
2.552886932494369887e+02,1.430759126925136890e-06,9.177216204624465351e-04,1.591716370775992165e-02
2.564651388404482191e+02,1.216985771901262861e-06,6.065913557056481706e-04,1.631830781722333479e-02
2.576415844314594779e+02,1.022749841204186638e-06,5.825942439274387668e-04,1.151392465308017504e-02
2.588180300224706798e+02,6.615372552991643888e-07,8.043235847930364953e-04,3.607850927901656672e-03
2.599944756134818817e+02,4.332494490744720944e-07,7.472154058080828507e-04,1.058258874017226243e-02
2.611709212044931405e+02,3.335319129626018547e-07,6.208365076674101073e-04,1.082877720169463619e-02
2.623473667955043993e+02,4.857589720708183137e-07,2.525456877295853184e-04,1.145265750495635428e-02
2.635238123865156012e+02,5.472368040637840383e-07,3.958198416994517270e-04,9.026874972418927334e-03
2.647002579775268032e+02,5.599715565338203703e-07,6.883968629787625337e-04,3.887386679105503656e-03
2.658767035685380620e+02,5.055021722472157881e-07,7.998861776435009074e-04,9.319083395281592755e-03
2.670531491595493208e+02,4.227619463740313530e-07,1.003194742025427001e-03,1.136507852070586105e-02
2.682295947505605227e+02,1.447642193811370980e-07,1.272464331135080571e-03,9.082748559611608652e-03
2.694060403415717246e+02,1.624511821950582693e-07,1.425415316271579861e-03,6.666647164402998531e-03
2.705824859325829834e+02,3.702013876520727717e-07,1.632209359382041404e-03,1.307627241328764706e-02
2.717589315235942422e+02,5.574899717102320426e-07,1.793177224943777112e-03,9.099386348835473634e-03
2.729353771146054441e+02,5.514081875226391015e-07,1.676652450298685105e-03,5.419606260908873922e-03
2.741118227056166461e+02,3.572965650758369609e-07,1.375362453132187137e-03,5.422675469935198458e-03
2.752882682966279049e+02,1.259594075804318323e-07,1.236647127454881291e-03,4.110964270468623130e-03
2.764647138876391637e+02,4.056279670451682407e-07,1.667079948154393237e-03,6.183413789928661128e-03
2.776411594786503656e+02,6.156566028584556140e-07,2.348741602519125848e-03,1.240452634758869646e-02
2.788176050696615675e+02,6.553701416553893144e-07,2.703822794957891438e-03,9.580832419840834904e-03
2.799940506606728263e+02,6.562858937474425590e-07,2.746602063067618300e-03,2.970537622401304631e-03
2.811704962516840851e+02,5.731464855807513336e-07,2.363816580097815191e-03,7.200188150604221529e-03
2.823469418426952871e+02,4.531122732356301123e-07,1.713248607950292870e-03,8.709700527774703188e-03
2.835233874337064890e+02,3.619474712865617476e-07,9.321873100504692511e-04,3.740453145990534252e-03
2.846998330247177478e+02,6.399744880948908847e-07,1.176798350769822860e-03,3.361876076834831219e-03
2.858762786157290066e+02,6.729442867770574105e-07,1.623109276907939253e-03,7.560382922205315624e-03
2.870527242067402085e+02,5.163201601192265628e-07,1.698128070250069571e-03,1.376201635339707741e-02
2.882291697977514104e+02,5.623060685272106585e-07,1.542752932601003900e-03,2.027653153831426164e-02
2.894056153887626692e+02,6.874841956411442613e-07,8.687157157574478244e-04,1.255329757215600806e-02
2.905820609797739280e+02,6.201957758879121682e-07,7.957785366851865497e-04,8.779612537701791952e-03
2.917585065707851300e+02,4.831825409435993274e-07,1.058187843024976579e-03,1.153948396979634881e-02
2.929349521617963319e+02,5.073460057739299943e-07,1.341358456219700433e-03,1.020000923521827314e-02
2.941113977528075907e+02,7.124810640966586152e-07,1.249447455144459332e-03,1.013396029054293261e-02
2.952878433438188495e+02,6.530391205328477415e-07,7.566538717647807322e-04,8.834400942370448234e-03
2.964642889348300514e+02,3.082937232098280294e-07,3.479577171613616304e-04,1.849746330223739181e-03
2.976407345258412533e+02,4.145329443573097106e-07,6.314248563398644747e-04,7.608600857020419127e-03
2.988171801168525121e+02,6.918770251401177586e-07,9.225953080506973762e-04,1.176873631356469344e-02
2.999936257078637709e+02,7.724165521407753043e-07,8.086926075911159443e-04,1.776510081498655289e-02
3.011700712988749729e+02,7.294078678990527442e-07,6.622610262959246737e-04,1.345484667090587026e-02
3.023465168898861748e+02,5.538679709450974098e-07,5.490223011420453580e-04,8.808991986142674854e-03
3.035229624808974336e+02,5.829472622133471478e-07,9.528080142851641727e-04,2.796526100489779825e-03
3.046994080719086924e+02,6.045926624478629113e-07,1.041311590576615232e-03,5.202450687273270369e-03
3.058758536629198943e+02,7.628239105589597350e-07,1.224332937613784424e-03,8.158756514384496450e-03
3.070522992539310962e+02,9.191227422672521642e-07,1.363329240079657690e-03,4.983377395845822906e-03
3.082287448449423550e+02,8.969147559356803379e-07,1.227695765886372119e-03,6.030376326780136423e-03
3.094051904359536138e+02,8.787854032173847028e-07,1.150781941012733473e-03,5.665226969901413293e-03
3.105816360269648158e+02,6.384216955861436525e-07,7.766541454607175758e-04,9.567062196780485445e-03
3.117580816179760177e+02,3.462369435133356724e-07,3.940079497091432338e-04,6.988546795171198846e-03
3.129345272089872765e+02,3.592677170774147256e-07,6.918620674985790026e-04,6.069379354029736696e-03
3.141109727999985353e+02,3.726604629503046714e-07,8.143841789040481794e-04,1.181028951753556808e-02
3.152874183910097372e+02,2.325243643305470589e-07,5.458060089326741788e-04,1.007364392986081353e-02
3.164638639820209391e+02,2.343922845639501125e-07,3.577193857720377358e-04,7.546992324855142549e-03
3.176403095730321979e+02,4.663774162789568229e-07,1.100818459106510990e-03,1.552530755866267029e-02
3.188167551640434567e+02,6.606083038050372878e-07,1.854441229162743761e-03,1.034151149711533789e-02
3.199932007550546587e+02,6.736417492053021854e-07,2.176958502122306946e-03,1.028398316989801754e-02
3.211696463460658606e+02,5.626791681169848382e-07,2.006093400147338033e-03,7.226113582453981034e-03
3.223460919370771194e+02,4.183332773552289853e-07,1.576582177534631294e-03,7.009586652899277986e-03
3.235225375280883782e+02,4.451761595300633285e-07,1.191332176224241170e-03,8.732951618023230764e-03
3.246989831190995801e+02,7.100656840029849628e-07,1.243373392594622918e-03,8.998099714216251099e-03
3.258754287101107820e+02,9.849608863542059757e-07,1.607078852092304333e-03,4.925533381043203235e-03
3.270518743011220408e+02,1.132643379168477909e-06,1.919226781427777308e-03,5.269663594513312663e-03
3.282283198921332996e+02,1.022385385808208742e-06,1.759806014017911441e-03,4.572961406194766577e-03
3.294047654831445016e+02,7.784911453243663992e-07,1.195302138938331843e-03,5.708579803901132378e-03
3.305812110741557035e+02,5.240327359251701845e-07,6.596355283244490723e-04,1.132047112042820249e-02
3.317576566651669623e+02,4.008556889052254667e-07,6.424469754974745407e-04,6.641729317403304023e-03
3.329341022561782211e+02,3.031982978204876013e-07,1.027487877103510153e-03,4.430795969202976949e-03
3.341105478471894230e+02,5.451961185356177752e-07,1.241753469802014519e-03,9.182180639378189138e-03
3.352869934382006250e+02,5.896860751945695406e-07,1.091774371817407375e-03,3.122383645110974031e-03
3.364634390292118837e+02,5.498126621825200287e-07,9.274147409231339300e-04,5.981710833611469241e-03
3.376398846202231425e+02,5.166376419846231975e-07,8.346907231379073217e-04,9.642400795093281768e-03
3.388163302112343445e+02,4.742873740198759431e-07,6.673334202672568565e-04,2.870384088031952084e-03
